,actor loss,critic loss
0,21.129636439969463,25.10108445613615
1,4.949600484294276,20.656251758144748
2,2.101029520265518,25.053244815334196
3,0.6113527919015577,23.95487111153141
4,-1.321713064947436,24.222850088919362
5,-1.807060827747468,23.896479346675257
6,-1.386122440907263,24.930303962769045
7,-2.014345254628889,22.702626022215814
8,-2.7697459155513395,23.684842366556968
9,-1.9360020472157387,25.791987929805632
10,-2.520572986333601,24.622389367318924
11,-2.5791412059337864,23.14497336726035
12,-1.8738910215516245,20.734331302489004
13,-2.4744672002330903,20.096897204460635
14,-2.2286602568241856,20.948975045450272
15,-1.3160949109062072,21.28508756852919
16,-2.332080049860862,21.503267607381268
17,-1.035579542575344,19.60633129150637
18,-2.013854472291085,19.19811180791547
19,-1.6477488706188816,17.588041939273957
20,-2.4225697007871445,19.111487798536977
21,-1.7060241989551053,24.47087645992156
22,-2.8939171825685808,22.493672115572036
23,-2.7558952885289347,25.3058922982985
24,-1.9236341809072801,23.497063376826624
25,-2.0549237149377024,21.736193043185818
26,-3.2080196917057036,21.257946118231743
27,-2.1427740135500506,20.457509636109876
28,-1.978779092719478,20.956983312483757
29,-2.9443747553133197,18.929412184992145
30,-2.7991980087372563,22.0369645449423
31,-1.6201571318411059,19.42935025384349
32,-1.6009197138970899,18.982524704164074
33,-2.012927499509627,19.95963326423399
34,-1.982460036585408,18.624327491175745
35,-2.3029765786663177,21.320533847039744
36,-2.0997535622888996,21.184834880213582
37,-2.5549741727690543,21.452657501159177
38,-1.9441469473223532,18.08533514315082
39,-3.062997103891065,21.987355569870243
40,-1.4170780956745148,20.046680078198833
41,-2.383109200385309,17.82871040067365
42,-2.3357771690814726,21.956638054693897
43,-1.454789571704403,17.78724535434477
44,-0.5438652112599343,17.57952320883351
45,-0.3616185855961615,18.983472401095973
46,-0.5603425428751976,19.087382387345837
47,0.43492216515925625,18.666096383525478
48,-0.1321109334307332,24.29830459933127
49,-0.31322454877438083,19.59611718500814
